AlbumName,ArtistName,NumSong,Rating,ReleaseYear,PlayTime
For the Record Disc 1,Alabama,18,7,1998,64
The Heart of Chicago 1967-1997,Chicago,14,6,1980,64
Chronicle Vol 1,Creedence Clearwater Revival,14,6,1971,49
Hell Freezes Over,Eagles,8,9,1994,41
All Over the World: The Very Best of Electric Light Orchestra,Electric Light Orchestra,20,6,2001,79
The Very Best of Elton John,Elton John,17,8,1988,76
The Very Best And Beyond,Foreigner,6,7,1984,25
A1A,Jimmy Buffett,11,8,1974,40
Changes in Latitudes Changes in Attitudes,Jimmy Buffett,8,7,1977,34
Coconut Telegraph,Jimmy Buffett,9,7,1981,34
Floridays,Jimmy Buffett,10,6,1986,47
Skynyrd's Innyrds,Lynyrd Skynyrd,6,8,1977,34
The Essential Neil Diamond,Neil Diamond,19,6,1970,67
Band on the Run,Paul McCartney & Wings,10,8,1974,45
Collected Works,Simon & Garfunkel,12,5,1970,41
Citizen,Steely Dan,9,8,1973,40
Fields Of Gold,Sting,9,6,1994,45
20 Good Vibrations,The Beach Boys,20,4,1966,49
1962-1966,The Beatles,26,9,1966,63
1967-1970,The Beatles,28,9,1970,100
The Best Of The Doors,The Doors,9,7,1971,36
Gold Vault Of Hits,The Four Seasons,11,5,1965,32
Every Breath You Take,The Police,12,8,1983,51
Who's Greatest Hits,The Who,10,6,1978,40
Place in the Sun,Tim McGraw,9,3,1999,34
Highlights,Yes,6,4,1987,35
