SongTitle,ArtistName,AlbumName,Rating,Time
Back in the U.S.S.R.,The Beatles,1967-1970,1,165
Band on the Run,Paul McCartney & Wings,Band on the Run,1,314
Break on Through (To the Other Side),The Doors,The Best Of The Doors,1,147
Bridge over Troubled Water,Simon & Garfunkel,Collected Works,10,295
Do It Again,Steely Dan,Citizen,6,356
Don't Go Breaking My Heart,Elton John,The Very Best of Elton John,3,272
Five O'Clock 500 [#],Alabama,For the Record Disc 1,7,218
Get Over It,Eagles,Hell Freezes Over,0,211
"Hello, I Love You",The Doors,The Best Of The Doors,10,134
Help!,The Beatles,1962-1966,5,139
Love Me Do,The Beatles,1962-1966,5,143
Margaritaville,Jimmy Buffett,Changes in Latitudes Changes in Attitudes,3,252
Mr. Blue Sky,Electric Light Orchestra,All Over the World: The Very Best of Electric Light Orchestra,0,304
Roxanne,The Police,Every Breath You Take,5,192
Scarborough Fair/Canticle,Simon & Garfunkel,Collected Works,4,190
Solitary Man,Neil Diamond,The Essential Neil Diamond,2,152
Strawberry Fields Forever,The Beatles,1967-1970,0,247
Surfin' Safari [Mono Version],The Beach Boys,20 Good Vibrations,1,125
Susie-Q,Creedence Clearwater Revival,Chronicle Vol 1,5,276
Sweet Home Alabama,Lynyrd Skynyrd,Skynyrd's Innyrds,7,284
The Trouble with Never,Tim McGraw,Place in the Sun,8,254
When We Dance,Sting,Fields Of Gold,0,359
You're the Inspiration,Chicago,The Heart of Chicago 1967-1997,4,229
Your Song,Elton John,The Very Best of Elton John,2,242
Can't Stand Losing You,The Police,Every Breath You Take,10,169
"Cherry, Cherry",Neil Diamond,The Essential Neil Diamond,4,162
Dirty Work,Steely Dan,Citizen,8,188
Evil Woman,Electric Light Orchestra,All Over the World: The Very Best of Electric Light Orchestra,9,253
If You Leave Me Now,Chicago,The Heart of Chicago 1967-1997,10,235
If You Love Somebody Set Them Free,Sting,Fields Of Gold,7,255
Jet,Paul McCartney & Wings,Band on the Run,3,249
Keepin' Up [#],Alabama,For the Record Disc 1,9,186
Love Will Keep Us Alive,Eagles,Hell Freezes Over,0,243
Penny Lane,The Beatles,1967-1970,5,181
Please Please Me,The Beatles,1962-1966,10,123
Rag Doll,The Four Seasons,Gold Vault Of Hits,6,179
Roadhouse Blues,The Doors,The Best Of The Doors,3,243
"Rocket Man (I Think It's Going to Be a Long, Long Time)",Elton John,The Very Best of Elton John,6,282
Seventeen,Tim McGraw,Place in the Sun,8,198
Surfin' U.S.A. [Stereo],The Beach Boys,20 Good Vibrations,6,148
The Seeker,The Who,Who's Greatest Hits,9,194
"The Weather Is Here, Wish You Were Beautiful",Jimmy Buffett,Coconut Telegraph,4,248
While My Guitar Gently Weeps,The Beatles,1967-1970,2,286
You've Got to Hide Your Love Away,The Beatles,1962-1966,9,131
Bluebird,Paul McCartney & Wings,Band on the Run,1,205
Don't Bring Me Down,Electric Light Orchestra,All Over the World: The Very Best of Electric Light Orchestra,10,244
Fields Of Gold,Sting,Fields Of Gold,9,219
From Me to You,The Beatles,1962-1966,8,117
Honky Cat,Elton John,The Very Best of Elton John,4,315
"I Got the Feelin' (Oh No, No)",Neil Diamond,The Essential Neil Diamond,3,133
L.A. Woman,The Doors,The Best Of The Doors,1,469
Magic Bus,The Who,Who's Greatest Hits,5,206
Make Me Smile,Chicago,The Heart of Chicago 1967-1997,5,179
Message in a Bottle,The Police,Every Breath You Take,0,289
"Ob-La-Di, Ob-La-Da",The Beatles,1967-1970,9,191
Proud Mary,Creedence Clearwater Revival,Chronicle Vol 1,0,189
Ronnie,The Four Seasons,Gold Vault Of Hits,7,179
Sgt. Pepper's Lonely Hearts Club Band,The Beatles,1967-1970,1,121
She'll Have You Back,Tim McGraw,Place in the Sun,6,205
Sorry Seems to Be the Hardest Word,Elton John,The Very Best of Elton John,8,230
Starship Trooper: Life Seeker/Disillusion,Yes,Highlights,10,565
Surfer Girl [Stereo],The Beach Boys,20 Good Vibrations,10,147
The Girl From Yesterday,Eagles,Hell Freezes Over,3,204
We Can Work It Out,The Beatles,1962-1966,4,136
All This Time,Sting,Fields Of Gold,2,295
Bad Moon Rising,Creedence Clearwater Revival,Chronicle Vol 1,3,140
Big Man In Town,The Four Seasons,Gold Vault Of Hits,1,168
Crocodile Rock,Elton John,The Very Best of Elton John,2,237
Day Tripper,The Beatles,1962-1966,4,169
Get Back,The Beatles,1967-1970,6,192
Gimme Three Steps,Lynyrd Skynyrd,Skynyrd's Innyrds,0,267
Hard Habit to Break,Chicago,The Heart of Chicago 1967-1997,5,284
Homeward Bound,Simon & Garfunkel,Collected Works,8,150
I've Seen All Good People: Your Move/All Good People,Yes,Highlights,4,414
Incommunicado,Jimmy Buffett,Coconut Telegraph,8,221
Juke Box Hero,Foreigner,The Very Best And Beyond,3,260
Kentucky Woman,Neil Diamond,The Essential Neil Diamond,0,146
Little Deuce Coupe [Stereo],The Beach Boys,20 Good Vibrations,5,99
Midnight Cruiser,Steely Dan,Citizen,8,248
Mrs. Vandebilt,Paul McCartney & Wings,Band on the Run,2,281
My Generation,The Who,Who's Greatest Hits,8,199
People Are Strange,The Doors,The Best Of The Doors,2,131
Riders on the Storm,The Doors,The Best Of The Doors,7,431
She Loves You,The Beatles,1962-1966,2,142
Sweet Talkin' Woman,Electric Light Orchestra,All Over the World: The Very Best of Electric Light Orchestra,2,229
Tennessee River,Alabama,For the Record Disc 1,3,182
Walking on the Moon,The Police,Every Breath You Take,1,302
With a Little Help from My Friends,The Beatles,1967-1970,4,164
Be True to Your School,The Beach Boys,20 Good Vibrations,1,126
Daniel,Elton John,The Very Best of Elton John,2,235
Don't Let Me Down,The Beatles,1967-1970,3,214
Don't Stand So Close to Me '86,The Police,Every Breath You Take,0,289
Drive My Car,The Beatles,1962-1966,3,147
Fortress Around Your Heart,Sting,Fields Of Gold,3,276
"Girl, You'll Be a Woman Soon",Neil Diamond,The Essential Neil Diamond,9,175
Hot Blooded,Foreigner,The Very Best And Beyond,5,264
I Want to Hold Your Hand,The Beatles,1962-1966,5,146
Let Me Roll It,Paul McCartney & Wings,Band on the Run,9,291
Lucy in the Sky with Diamonds,The Beatles,1967-1970,9,207
My Best Friend,Tim McGraw,Place in the Sun,2,279
Only a Fool Would Say That,Steely Dan,Citizen,2,177
Part-Time Love,Elton John,The Very Best of Elton John,6,195
Pinball Wizard,The Who,Who's Greatest Hits,0,183
Saturday in the Park,Chicago,The Heart of Chicago 1967-1997,2,234
Shine a Little Love,Electric Light Orchestra,All Over the World: The Very Best of Electric Light Orchestra,6,252
Silence Is Golden,The Four Seasons,Gold Vault Of Hits,3,204
Tequila Sunrise,Eagles,Hell Freezes Over,9,208
Tin Cup Chalice,Jimmy Buffett,A1A,10,217
Touch Me,The Doors,The Best Of The Doors,9,192
Why Lady Why,Alabama,For the Record Disc 1,0,189
A Day in the Life,The Beatles,1967-1970,4,306
All My Loving,The Beatles,1962-1966,1,128
